name,prefix_length,MAE,RMSE,MedAE,R2
baseline,2,415.3508768266329,415.3508768266329,415.3508768266329,0.0
ols,2,120.38407179436588,196.22120287932395,40.04345136397284,-2.3508945313099607
ols_pipeline,2,120.38407179436588,196.22120287932395,40.04345136397284,-2.3508945313099607
ridge,2,157.06529388986715,198.5887658311958,132.13487991597555,-2.4322447147416217
baseline,3,415.3508768266329,415.3508768266328,415.3508768266329,0.0
ols,3,311.04899642525424,474.7963387153247,230.61574222958265,-1581.6933844610996
ols_pipeline,3,311.04899642525424,474.7963387153247,230.61574222958265,-1581.6933844610996
ridge,3,265.59590368795216,353.37466016578355,247.93736904573186,-875.7037658816715
baseline,4,415.3282779565764,415.3283045477833,415.3508768266329,-7809503.80910171
ols,4,241.1259625297109,353.5243111704111,163.94073395282544,-16.34850364955372
ols_pipeline,4,241.1259625297109,353.5243111704111,163.94073395282544,-16.34850364955372
ridge,4,207.32903848955846,272.97357593329804,165.53487962056786,-9.343432159504417
baseline,5,415.24481622057226,415.2449303842381,415.3508768266329,-1818637.9884405225
ols,5,217.42441730975,288.4795261787873,185.98232875205625,-8.34955547922121
ols_pipeline,5,217.42441730975,288.4795261787873,185.98232875205625,-8.34955547922121
ridge,5,207.51531390063298,259.622022278809,189.21400740638356,-6.572582749654346
baseline,6,415.2607128922066,415.26081166676806,415.3508768266329,-2102062.805695522
ols,6,187.6147432263026,238.24697238284105,154.10849618211998,-5.896876790189293
ols_pipeline,6,187.6147432263026,238.24697238284105,154.10849618211998,-5.896876790189293
ridge,6,171.07275454099866,213.99121890009937,146.21147864819153,-4.564031651069201
baseline,7,415.3151625409186,415.31520400193045,415.3508768266329,-5008502.238567757
ols,7,293.09819094824826,504.8395086379711,174.41888455153207,-26.69693515276068
ols_pipeline,7,293.09819094824826,504.8395086379711,174.41888455153207,-26.69693515276068
ridge,7,236.00677096970222,396.44531375518864,156.31995986543606,-16.08014764853683
baseline,8,415.2929058121401,415.292971561363,415.3508768266329,-3158158.034072228
ols,8,229.333738854962,340.1908585139512,164.66166742510248,-12.749487052308702
ols_pipeline,8,229.333738854962,340.1908585139512,164.66166742510248,-12.749487052308702
ridge,8,201.2888576540937,264.07614837072487,162.23195396801611,-7.2851346703853075
baseline,9,415.23976571552174,415.239884641292,415.3508768266329,-1745793.638193749
ols,9,167.35721880140972,208.45890592530043,141.2163153596279,-3.141929483015071
ols_pipeline,9,167.35721880140972,208.45890592530043,141.2163153596279,-3.141929483015071
ridge,9,160.02080904891156,193.63377756761446,141.02047771276958,-2.573748851087437
baseline,10,415.21294579215015,415.21308897897137,415.3508768266329,-1449899.0568720514
ols,10,201.72306371221825,256.02825131659074,185.02195681901333,-4.638724620458417
ols_pipeline,10,201.72306371221825,256.02825131659074,185.02195681901333,-4.638724620458417
ridge,10,185.5558782155777,229.68099602763996,171.5611041599371,-3.53790323747498
baseline,11,415.1769637831546,415.17713680246845,415.3508768266329,-1199799.2244016998
ols,11,320.9505710670996,732.9593407574826,152.7157663920189,-45.05326451602532
ols_pipeline,11,320.9505710670996,732.9593407574826,152.7157663920189,-45.05326451602532
ridge,11,296.3421510064434,669.8029107286509,145.46156383443676,-37.45871012417078
baseline,12,415.2953212710773,415.29538444194526,415.3508768266329,-3287079.179633277
ols,12,224.90511217824712,265.40014467937027,211.77111291401133,-7.3624329901767425
ols_pipeline,12,224.90511217824712,265.40014467937027,211.77111291401135,-7.3624329901767425
ridge,12,204.0097774205347,240.87015086057178,183.81551764518966,-5.88805029259633
baseline,13,415.2675434932996,415.26763546880017,415.3508768266329,-2257489.7368881963
ols,13,263.8576198137319,347.1664321011885,214.74166193249647,-10.7280069791821
ols_pipeline,13,263.8576198137319,347.1664321011885,214.74166193249647,-10.7280069791821
ridge,13,230.97535816866372,295.868986449618,187.21196261945624,-7.518196444127213
baseline,14,415.2920532972211,415.2921199531045,415.3508768266329,-3115194.029668533
ols,14,286.57224228252505,430.5445796128359,196.6903748567068,-18.07189534573336
ols_pipeline,14,286.57224228252505,430.5445796128359,196.6903748567068,-18.071895345733356
ridge,14,245.6824868536273,327.0379858207838,184.99091769965503,-10.004086653897042
baseline,15,415.3508768266329,415.3508768266329,415.3508768266329,0.0
ols,15,159.42755433899893,199.944543043773,122.51814654119217,-5.796383505890807
ols_pipeline,15,159.42755433899893,199.944543043773,122.51814654119217,-5.796383505890807
ridge,15,148.86969703113797,188.68866871949072,107.92940287966674,-5.052717528670653
baseline,16,415.3508768266329,415.3508768266328,415.3508768266329,0.0
ols,16,250.89065936347689,287.37984914925863,229.41408856368875,-2.553758048139077
ols_pipeline,16,250.89065936347689,287.37984914925863,229.41408856368875,-2.553758048139077
ridge,16,226.02493079064348,275.3108849142416,195.28898036725036,-2.2615346442592337
baseline,17,415.3508768266329,415.3508768266329,415.3508768266329,0.0
ols,17,296.57248156368604,352.2623918576949,244.8417214419244,-7.65627630214451
ols_pipeline,17,296.57248156368604,352.2623918576949,244.8417214419244,-7.65627630214451
ridge,17,254.3324269706939,306.8533008026311,185.11753460099862,-5.568408429212251
baseline,18,415.25087682663286,415.2509851948426,415.3508768266329,-1915925.452280971
ols,18,285.020925333522,374.867655145424,204.85969758510817,-10.453889736126223
ols_pipeline,18,285.020925333522,374.867655145424,204.85969758510817,-10.453889736126223
ridge,18,268.75527650156164,331.55441757595275,213.86828998844373,-7.959972901496602
baseline,19,415.3508768266329,415.3508768266329,415.3508768266329,0.0
ols,19,402.75496404783416,448.2238011062712,359.9458343486632,-23.41708196773668
ols_pipeline,19,402.75496404783416,448.2238011062712,359.9458343486632,-23.41708196773668
ridge,19,309.5449383475015,364.0405711275993,255.43067031729865,-15.106586403157419
baseline,20,415.3508768266329,415.3508768266329,415.3508768266329,0.0
ols,20,399.8705895426404,490.1767189820909,396.3180746473657,-78.5994466788049
ols_pipeline,20,399.8705895426404,490.1767189820909,396.3180746473657,-78.5994466788049
ridge,20,266.9619362049704,302.3416199747742,218.3409933216479,-29.283115939122784
baseline,22,415.3508768266329,415.3508768266328,415.3508768266329,0.0
ols,22,280.4683710507185,370.65800162537874,205.5066138263697,-7.283717134315877
ols_pipeline,22,280.4683710507185,370.65800162537874,205.50661382636972,-7.283717134315877
ridge,22,290.8692384372081,360.6322499800737,275.06493568608124,-6.841653054990527
baseline,24,415.3508768266329,415.3508768266329,415.3508768266329,0.0
ols,24,950.624528117018,954.9855421471684,962.728781146762,-1175.0256376742286
ols_pipeline,24,950.624528117018,954.9855421471684,962.728781146762,-1175.0256376742286
ridge,24,785.015235187767,791.2004823937223,788.560656129793,-806.2281212655936
baseline,25,415.3508768266329,415.3508768266329,415.3508768266329,0.0
ols,25,248.3914281416166,268.5636015533266,240.2743104732049,-27.082921501612773
ols_pipeline,25,248.3914281416166,268.5636015533266,240.2743104732049,-27.082921501612773
ridge,25,330.5743403782183,370.03229827232826,313.7111993134305,-52.31227891905144
baseline,26,414.3508768266329,414.3508768266329,414.3508768266329,0.0
ols,26,107.69368394995696,127.96566547254544,83.82836386669743,-0.6390903412200064
ols_pipeline,26,107.69368394995696,127.96566547254544,83.82836386669743,-0.6390903412200064
ridge,26,113.9081577176215,136.3590960245179,96.01304374025219,-0.861162095048073
baseline,27,415.3508768266329,415.3508768266329,415.3508768266329,0.0
ols,27,278.7705222021132,323.2706240912205,283.10872501073925,-13.687075385813827
ols_pipeline,27,278.7705222021132,323.2706240912205,283.10872501073925,-13.687075385813827
ridge,27,249.4987714195178,288.6518045817785,234.59616309970306,-10.709851690606069
baseline,32,415.3508768266329,415.3508768266329,415.3508768266329,0.0
ols,32,134.4103664620748,161.22535210291517,157.05273665700366,-1.1581799868078346
ols_pipeline,32,134.4103664620748,161.22535210291517,157.05273665700366,-1.1581799868078346
ridge,32,148.09915307615682,180.46066618750794,180.88881250395062,-1.703871855962201
